Final,Máxima,Mínimo,Volumen,Efectivo
1.016500,4.067500,1.016500,1.221000e+03,2343.090
19705.000000,19875.000000,19675.000000,3.612969e+07,145765.440
2796.768757,3170.113357,3136.510471,4.252279e+06,31767.778
